,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
23069,Return_to_owner,Dog,Neutered Male,2 years,Australian Cattle Dog,Blue Merle/White
23070,Euthanasia,Dog,Spayed Female,2 years,Pit Bull Mix,Brown
23071,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
23072,Transfer,Dog,Spayed Female,1 year,Pharaoh Hound,Red/White
23073,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
23074,Return_to_owner,Dog,Neutered Male,13 years,Chow Chow Mix,Brown
23075,Euthanasia,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
23076,Transfer,Dog,Spayed Female,2 years,Labrador Retriever/German Shepherd,Black
23077,Transfer,Dog,Intact Female,1 month,Plott Hound Mix,Brown Brindle
23078,Adoption,Dog,Neutered Male,3 years,Akita Mix,Black/Tan
23079,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Red/White
23080,Transfer,Dog,Spayed Female,2 years,Catahoula Mix,Brown Merle
23081,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue/White
23082,Adoption,Dog,Spayed Female,11 years,German Shepherd Mix,Brown
23083,Return_to_owner,Dog,Neutered Male,3 years,Tibetan Spaniel Mix,White/Buff
23084,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Brown Merle/White
23085,Adoption,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Black/Tan
23086,Adoption,Dog,Neutered Male,2 months,Catahoula Mix,Brown Brindle/White
23087,Adoption,Dog,Spayed Female,2 years,American Eskimo Mix,White
23088,Return_to_owner,Dog,Spayed Female,6 years,Siberian Husky/Pit Bull,White/Brown
23089,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
23090,Adoption,Dog,Neutered Male,2 years,Cardigan Welsh Corgi Mix,Black/Brown
23091,Adoption,Dog,Neutered Male,1 year,Australian Cattle Dog/Pointer,White/Black
23092,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
23093,Adoption,Dog,Spayed Female,1 year,Redbone Hound Mix,Brown
23094,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
23095,Return_to_owner,Dog,Spayed Female,3 months,Shetland Sheepdog/Cardigan Welsh Corgi,Black/Tan
23096,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
23097,Return_to_owner,Dog,Neutered Male,10 years,Rat Terrier Mix,White/Tan
23098,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,Blue/White
23099,Adoption,Dog,Spayed Female,2 years,Australian Cattle Dog/Border Collie,White/Tricolor
23100,Adoption,Dog,Neutered Male,1 year,Rottweiler Mix,Tricolor
23101,Return_to_owner,Dog,Spayed Female,5 years,Miniature Pinscher Mix,Black/Tan
23102,Adoption,Dog,Spayed Female,2 years,Maltese/Miniature Poodle,White
23103,Return_to_owner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
23104,Adoption,Dog,Neutered Male,8 months,Anatol Shepherd/Redbone Hound,Sable
23105,Euthanasia,Dog,Intact Female,2 years,Rottweiler Mix,Black/Tan
23106,Transfer,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby
23107,Transfer,Dog,Spayed Female,3 years,Boxer Mix,Tan/White
23108,Adoption,Dog,Neutered Male,4 years,German Shepherd Mix,Black
23109,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby
23110,Transfer,Cat,Unknown,4 months,Domestic Shorthair Mix,Black
23111,Adoption,Dog,Spayed Female,2 years,German Shepherd/Labrador Retriever,Buff
23112,Euthanasia,Cat,Neutered Male,6 years,Domestic Medium Hair Mix,Blue Tabby
23113,Return_to_owner,Dog,Neutered Male,3 years,Belgian Malinois Mix,Tan/Black
23114,Adoption,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black
23115,Return_to_owner,Dog,Intact Male,3 years,Pit Bull Mix,Tan/White
23116,Return_to_owner,Dog,Spayed Female,1 year,Great Pyrenees Mix,White
23117,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
23118,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black
23119,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
23120,Transfer,Cat,Intact Male,3 months,Siamese Mix,Flame Point
23121,Adoption,Cat,Spayed Female,8 months,Domestic Medium Hair Mix,Black/White
23122,Return_to_owner,Dog,Spayed Female,6 months,Shih Tzu/Miniature Poodle,Black
23123,Adoption,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Black/Brown
23124,Adoption,Dog,Spayed Female,1 year,Chihuahua Longhair/Cairn Terrier,Tan/Cream
23125,Return_to_owner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby
23126,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow/Black
23127,Adoption,Cat,Spayed Female,6 months,Domestic Medium Hair Mix,Tortie
23128,Euthanasia,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
23129,Adoption,Dog,Spayed Female,4 months,American Eskimo Mix,Cream
23130,Return_to_owner,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White
23131,Transfer,Dog,Spayed Female,3 months,Labrador Retriever/Catahoula,White/Brown
23132,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
23133,Transfer,Dog,Spayed Female,7 months,German Shepherd Mix,Red Tick
23134,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
23135,Return_to_owner,Dog,Spayed Female,3 years,Pekingese Mix,Buff
23136,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan
23137,Transfer,Dog,Intact Female,2 years,Maltese/Miniature Poodle,White
23138,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico/Blue Cream
23139,Adoption,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,White
23140,Euthanasia,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
23141,Euthanasia,Dog,Spayed Female,2 years,Catahoula Mix,Tan/Yellow Brindle
23142,Adoption,Dog,Spayed Female,1 month,Labrador Retriever/Australian Shepherd,Black/White
23143,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
23144,Adoption,Dog,Neutered Male,5 years,Maltese,White
23145,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
23146,Return_to_owner,Dog,Intact Female,6 years,Shih Tzu Mix,Gray/White
23147,Adoption,Dog,Neutered Male,2 years,Yorkshire Terrier,Brown/Black
23148,Transfer,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/White
23149,Adoption,Dog,Neutered Male,2 years,Golden Retriever/Chow Chow,Gold
23150,Transfer,Cat,Intact Female,6 days,Siamese Mix,White/Lynx Point
23151,Adoption,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black
23152,Return_to_owner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White/Black
23153,Adoption,Dog,Neutered Male,10 months,Labrador Retriever/German Shepherd,Black/White
23154,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby/White
23155,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue/White
23156,Transfer,Dog,Intact Male,6 months,Chihuahua Shorthair Mix,Brown/Black
23157,Adoption,Dog,Spayed Female,2 years,Staffordshire,Black/White
23158,Adoption,Dog,Spayed Female,5 months,Beagle Mix,Red/White
23159,Adoption,Dog,Spayed Female,1 month,German Shepherd/Australian Cattle Dog,Red/White
23160,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
23161,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Tortie
23162,Return_to_owner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
23163,Adoption,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,White/Brown
23164,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
23165,Transfer,Dog,Neutered Male,2 months,Chihuahua Shorthair/Cairn Terrier,Tan
23166,Transfer,Dog,Intact Female,1 month,German Shepherd Mix,Sable/Black
23167,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
23168,Return_to_owner,Dog,Spayed Female,8 years,Collie Rough/German Shepherd,Black/Brown
23169,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
23170,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
23171,Adoption,Dog,Spayed Female,1 year,Bull Terrier/Australian Kelpie,Black
23172,Transfer,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue
23173,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
23174,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
23175,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
23176,Return_to_owner,Dog,Neutered Male,12 years,Wire Hair Fox Terrier Mix,Black/White
23177,Adoption,Dog,Spayed Female,3 years,Miniature Poodle/Yorkshire Terrier,Brown
23178,Adoption,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Tan
23179,Adoption,Dog,Neutered Male,11 months,Australian Cattle Dog/Jack Russell Terrier,White/Black
23180,Transfer,Dog,Intact Male,2 years,Australian Shepherd/Border Collie,Black/Tricolor
23181,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Torbie
23182,Adoption,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan
23183,Transfer,Dog,Intact Male,1 month,German Shepherd Mix,Fawn
23184,Return_to_owner,Dog,Intact Male,3 years,German Shepherd Mix,White
23185,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
23186,Adoption,Cat,Spayed Female,11 years,Maine Coon Mix,Torbie
23187,Adoption,Dog,Neutered Male,6 months,Catahoula/Boxer,Brown/White
23188,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever/German Shepherd,Black/White
23189,Adoption,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby/White
23190,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
23191,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
23192,Adoption,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
23193,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
23194,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
23195,Died,Cat,Unknown,3 days,Domestic Shorthair Mix,Black
23196,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
23197,Adoption,Cat,Neutered Male,2 months,Manx Mix,Black Smoke
23198,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Cream Tabby
23199,Adoption,Dog,Spayed Female,1 year,Miniature Poodle Mix,White
23200,Euthanasia,Cat,Spayed Female,13 years,Domestic Longhair Mix,Tortie
23201,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,Black/White
23202,Adoption,Dog,Neutered Male,2 years,Boston Terrier,Brown Brindle/White
23203,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Brown
23204,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black
23205,Adoption,Dog,Spayed Female,1 year,Blue Lacy Mix,Blue/White
23206,Transfer,Cat,Unknown,5 days,Domestic Shorthair Mix,White
23207,Transfer,Dog,Neutered Male,10 years,Cocker Spaniel Mix,Black/White
23208,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
23209,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
23210,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Cream Tabby
23211,Transfer,Dog,Intact Male,7 months,Border Collie Mix,White/Black
23212,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan/White
23213,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black
23214,Adoption,Dog,Neutered Male,2 months,Boxer Mix,Sable
23215,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
23216,Adoption,Cat,Neutered Male,5 months,Domestic Longhair Mix,Black
23217,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan/White
23218,Adoption,Dog,Spayed Female,3 months,Boston Terrier/Chihuahua Shorthair,Black/White
23219,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
23220,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
23221,Transfer,Dog,Neutered Male,10 years,Labrador Retriever Mix,Tan
23222,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
23223,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
23224,Adoption,Dog,Spayed Female,1 month,Pit Bull Mix,Tan
23225,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
23226,Adoption,Dog,Neutered Male,4 months,Labrador Retriever/Blue Lacy,Black
23227,Euthanasia,Dog,Intact Female,1 year,Chinese Sharpei,Tan
23228,Euthanasia,Dog,Intact Female,8 years,Pit Bull Mix,Blue/White
23229,Adoption,Dog,Neutered Male,6 years,Alaskan Malamute/Border Collie,Tricolor
23230,Adoption,Dog,Spayed Female,1 year,Border Collie Mix,Black/White
23231,Adoption,Dog,Spayed Female,2 years,Staffordshire Mix,Brown/White
23232,Return_to_owner,Dog,Spayed Female,9 years,Australian Cattle Dog Mix,Tricolor
23233,Transfer,Dog,Neutered Male,7 months,Labrador Retriever Mix,Brown
23234,Return_to_owner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Blue Tabby
23235,Return_to_owner,Dog,Neutered Male,9 years,Beagle Mix,Black/White
23236,Adoption,Dog,Spayed Female,1 year,Boxer Mix,Black/White
23237,Return_to_owner,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown
23238,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Catahoula,White/Black
23239,Return_to_owner,Cat,Spayed Female,12 years,Snowshoe Mix,Seal Point
23240,Return_to_owner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Blue
23241,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
23242,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
23243,Return_to_owner,Dog,Neutered Male,13 years,Labrador Retriever Mix,Brown
23244,Return_to_owner,Dog,Intact Female,1 year,Pit Bull Mix,White
23245,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby
23246,Euthanasia,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Brown/Black
23247,Return_to_owner,Dog,Intact Female,14 years,Chihuahua Shorthair,Tan/White
23248,Return_to_owner,Dog,Neutered Male,3 years,American Pit Bull Terrier Mix,Brown/White
23249,Transfer,Dog,Spayed Female,2 months,Doberman Pinsch Mix,Black/Tan
23250,Adoption,Dog,Neutered Male,1 year,Rat Terrier/Chihuahua Shorthair,Tricolor
23251,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
23252,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
23253,Return_to_owner,Dog,Neutered Male,4 years,Chihuahua Longhair/Maltese,White
23254,Adoption,Dog,Spayed Female,2 months,Carolina Dog Mix,Tan/Black
23255,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White
23256,Adoption,Dog,Neutered Male,6 months,Belgian Malinois,Brown/Black
23257,Transfer,Dog,Intact Female,8 months,Catahoula Mix,Chocolate/White
23258,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Blue Tabby
23259,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
23260,Transfer,Cat,Intact Male,1 week,Domestic Shorthair Mix,Orange Tabby
23261,Euthanasia,Dog,Neutered Male,12 years,Pit Bull Mix,White/Black
23262,Adoption,Dog,Spayed Female,1 month,Rat Terrier Mix,White/Black
23263,Transfer,Dog,Intact Female,4 months,Siberian Husky Mix,Gray/Black
23264,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
23265,Return_to_owner,Dog,Neutered Male,7 years,German Shepherd/Alaskan Malamute,White/Tan
23266,Transfer,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Black
23267,Return_to_owner,Dog,Neutered Male,5 years,Labrador Retriever/Alaskan Husky,Yellow/White
23268,Transfer,Dog,Intact Male,1 month,Labrador Retriever Mix,Black
23269,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
23270,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
23271,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie
23272,Adoption,Dog,Spayed Female,1 year,Boxer Mix,White
23273,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
23274,Return_to_owner,Dog,Neutered Male,8 months,Labrador Retriever Mix,Black/White
23275,Adoption,Dog,Neutered Male,2 months,Labrador Retriever/German Shepherd,Sable
23276,Adoption,Cat,Neutered Male,2 months,Domestic Longhair Mix,White/Brown Tabby
23277,Transfer,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Black
23278,Transfer,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Black
23279,Transfer,Dog,Intact Male,10 years,Chihuahua Shorthair Mix,Buff
23280,Return_to_owner,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Blue/White
23281,Return_to_owner,Dog,Neutered Male,7 years,Papillon Mix,Black
23282,Return_to_owner,Dog,Neutered Male,5 years,German Shorthair Pointer Mix,Chocolate
23283,Euthanasia,Dog,Intact Male,3 years,Pit Bull Mix,Brown Brindle
23284,Adoption,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Gray/White
23285,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
23286,Adoption,Dog,Intact Male,1 year,Cairn Terrier Mix,Black/Tan
23287,Transfer,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Orange Tabby
23288,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown
23289,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue
23290,Transfer,Dog,Neutered Male,5 years,Great Pyrenees,White
23291,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
23292,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
23293,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
23294,Transfer,Dog,Neutered Male,10 years,Boxer Mix,Red/Black
23295,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
23296,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
23297,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
23298,Adoption,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Tricolor
23299,Euthanasia,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
23300,Return_to_owner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/Tan
23301,Euthanasia,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
23302,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue
23303,Adoption,Dog,Spayed Female,2 months,Vizsla Mix,Red/White
23304,Return_to_owner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Cream
23305,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
23306,Return_to_owner,Dog,Neutered Male,10 years,Chihuahua Shorthair/Dachshund,Tan/White
23307,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
23308,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan
23309,Adoption,Dog,Neutered Male,2 months,Shih Tzu,Chocolate/White
23310,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
23311,Euthanasia,Dog,Unknown,4 years,Rat Terrier Mix,White/Tricolor
23312,Return_to_owner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black
23313,Return_to_owner,Dog,Spayed Female,4 years,Weimaraner Mix,Fawn/White
23314,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Blue Tabby
23315,Adoption,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
23316,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White
23317,Adoption,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Tan
23318,Adoption,Dog,Spayed Female,6 months,Pointer/Labrador Retriever,Black/White
23319,Adoption,Cat,Spayed Female,9 months,Domestic Shorthair Mix,White/Gray Tabby
23320,Adoption,Cat,Intact Female,1 month,Siamese Mix,Seal Point
23321,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
23322,Return_to_owner,Dog,Intact Male,1 year,Dachshund Mix,Brown
23323,Return_to_owner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby
23324,Adoption,Dog,Spayed Female,1 year,Pit Bull/Labrador Retriever,Black/White
23325,Return_to_owner,Dog,Intact Male,2 years,Chihuahua Shorthair/Dachshund,Black/Tan
23326,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Tortie
23327,Adoption,Dog,Neutered Male,14 years,Miniature Poodle/Shih Tzu,White/Black
23328,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue/White
23329,Transfer,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby/White
23330,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
23331,Adoption,Cat,Spayed Female,2 years,Domestic Longhair Mix,Calico
23332,Transfer,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White
23333,Euthanasia,Dog,Intact Male,2 years,Pit Bull Mix,Black
23334,Adoption,Dog,Spayed Female,5 years,Pit Bull Mix,Black/White
23335,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
23336,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Torbie
23337,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White
23338,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
23339,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby/White
23340,Transfer,Cat,Intact Female,7 months,Snowshoe Mix,Calico Point
23341,Adoption,Dog,Neutered Male,2 months,Standard Poodle Mix,Black/White
23342,Return_to_owner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Orange Tabby/White
23343,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
23344,Adoption,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,Brown/White
23345,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
23346,Adoption,Dog,Spayed Female,12 years,Rat Terrier,Tricolor
23347,Transfer,Cat,Intact Female,4 weeks,Siamese Mix,Chocolate Point
23348,Return_to_owner,Dog,Intact Female,3 years,Pit Bull Mix,Blue
23349,Adoption,Dog,Spayed Female,5 months,Labrador Retriever/Flat Coat Retriever,Black
23350,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Brown
23351,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,White/Orange Tabby
23352,Adoption,Dog,Spayed Female,2 years,German Shepherd,White
23353,Adoption,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black
23354,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
23355,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
23356,Adoption,Dog,Spayed Female,8 years,Carolina Dog Mix,Red
23357,Return_to_owner,Dog,Neutered Male,4 years,German Shepherd Mix,Black/Tan
23358,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
23359,Died,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
23360,Euthanasia,Cat,Unknown,3 years,Domestic Shorthair Mix,Brown Tabby
23361,Adoption,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Black
23362,Transfer,Dog,Intact Male,2 months,Cardigan Welsh Corgi Mix,Sable
23363,Adoption,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Black/White
23364,Return_to_owner,Dog,Spayed Female,6 years,Shiba Inu Mix,Red
23365,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
23366,Euthanasia,Dog,Intact Male,10 years,Chihuahua Shorthair Mix,Brown
23367,Transfer,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby/White
23368,Adoption,Dog,Spayed Female,3 years,Bichon Frise,White
23369,Adoption,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black
23370,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
23371,Return_to_owner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
23372,Return_to_owner,Dog,Neutered Male,2 years,Siberian Husky,Red/White
23373,Adoption,Dog,Neutered Male,8 years,German Shepherd Mix,Black/Tan
23374,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Orange Tabby
23375,Return_to_owner,Dog,Spayed Female,3 years,Dachshund Mix,Red/Black
23376,Return_to_owner,Dog,Neutered Male,3 years,Border Collie Mix,White/Black
23377,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
23378,Adoption,Dog,Spayed Female,2 months,Border Collie Mix,Black/White
23379,Euthanasia,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
23380,Return_to_owner,Dog,Neutered Male,10 years,Miniature Pinscher Mix,Chocolate/Tan
23381,Adoption,Dog,Spayed Female,2 months,Basset Hound/Pointer,Black/White
23382,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
23383,Transfer,Dog,Intact Male,1 month,Australian Kelpie Mix,Sable/White
23384,Transfer,Cat,Intact Female,6 years,Domestic Medium Hair Mix,Brown Tabby
23385,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
23386,Transfer,Dog,Neutered Male,2 years,Chihuahua Shorthair/Rat Terrier,Tricolor
23387,Transfer,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby
23388,Adoption,Dog,Neutered Male,5 years,Alaskan Husky,White/Black
23389,Transfer,Dog,Intact Male,1 month,Jack Russell Terrier Mix,Sable
23390,Return_to_owner,Dog,Neutered Male,4 years,Toy Poodle Mix,Black
23391,Return_to_owner,Dog,Neutered Male,4 years,Manchester Terrier Mix,Tricolor
23392,Return_to_owner,Dog,Spayed Female,2 years,Dachshund Mix,Brown Brindle
23393,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue
23394,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
23395,Transfer,Cat,Unknown,7 months,Domestic Shorthair Mix,Black/White
23396,Return_to_owner,Dog,Neutered Male,7 months,Labrador Retriever Mix,Tricolor/White
23397,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
23398,Return_to_owner,Dog,Neutered Male,5 years,Miniature Schnauzer Mix,Black
23399,Adoption,Dog,Spayed Female,2 months,Labrador Retriever/Border Collie,Black/White
23400,Adoption,Dog,Neutered Male,1 year,Chinese Sharpei,Brown
